idx,timestamp,acc,prec,recl,f1,lb,timest,qnt
1,1689175535,4.67479251894783e-310,4.67479249454494e-310,4.67479327939707e-310,6.92090688362215e-310,6.92090688362215e-310,6.92090688362294e-310,6.92090688364745e-310
10001,1689175535,0.0,0.0,0.0,0.0,0.999,0.4254176616668701,10000.0
20001,1689175535,0.0,0.0,0.0,0.0,0.9985,0.5914585590362549,20000.0
30001,1689175535,0.0,0.0,0.0,0.0,0.9993,0.7793073654174805,30000.0
40001,1689175535,0.0,0.0,0.0,0.0,0.999,0.9633214473724365,40000.0
50001,1689175535,0.0,0.0,0.0,0.0,0.9991,1.1513285636901855,50000.0
60001,1689175535,0.0,0.0,0.0,0.0,0.999,1.632359504699707,60000.0
70001,1689175535,0.0,0.0,0.0,0.0,0.9991,1.5163459777832031,70000.0
80001,1689175535,0.0,0.0,0.0,0.0,0.999,1.7042806148529053,80000.0
90001,1689175535,0.0,0.0,0.0,0.0,0.9995,1.8997914791107178,90000.0
100001,1689175535,0.0,0.0,0.0,0.0,0.9991,2.089387893676758,100000.0
110001,1689175535,0.0,0.0,0.0,0.0,0.9719,2.266266345977783,110000.0
120001,1689175535,0.0,0.0,0.0,0.0,0.9768,2.4514663219451904,120000.0
130001,1689175535,0.0,0.0,0.0,0.0,0.977,2.6345133781433105,130000.0
140001,1689175535,0.0,0.0,0.0,0.0,0.977,2.8146674633026123,140000.0
150001,1689175535,0.0,0.0,0.0,0.0,0.9757,2.9975738525390625,150000.0
160001,1689175535,0.0,0.0,0.0,0.0,0.9752,3.1805360317230225,160000.0
170001,1689175535,0.0,0.0,0.0,0.0,0.9745,3.363759756088257,170000.0
180001,1689175535,0.0,0.0,0.0,0.0,0.9723,3.546765089035034,180000.0
190001,1689175535,0.0,0.0,0.0,0.0,0.9761,3.731598377227783,190000.0
200001,1689175535,0.0,0.0,0.0,0.0,0.9772,3.912553071975708,200000.0
210001,1689175535,0.0,0.0,0.0,0.0,0.9687,4.097812175750732,210000.0
220001,1689175535,0.0,0.0,0.0,0.0,0.9646,4.279195785522461,220000.0
230001,1689175535,0.0,0.0,0.0,0.0,0.9672,4.463119983673096,230000.0
240001,1689175535,0.0,0.0,0.0,0.0,0.9662,4.64395546913147,240000.0
250001,1689175535,0.0,0.0,0.0,0.0,0.9664,4.837393760681152,250000.0
260001,1689175535,0.0,0.0,0.0,0.0,0.9684,5.0197532176971436,260000.0
270001,1689175535,0.0,0.0,0.0,0.0,0.9677,5.201771020889282,270000.0
280001,1689175535,0.0,0.0,0.0,0.0,0.967,5.6855363845825195,280000.0
290001,1689175535,0.0,0.0,0.0,0.0,0.9666,5.569769382476807,290000.0
300001,1689175535,0.0,0.0,0.0,0.0,0.9649,5.757691383361816,300000.0
310001,1689175535,0.0,0.0,0.0,0.0,0.8198,5.9393908977508545,310000.0
320001,1689175535,0.0,0.0,0.0,0.0,0.9599,6.119782209396362,320000.0
330001,1689175535,0.0,0.0,0.0,0.0,0.9558,6.303077936172485,330000.0
340001,1689175535,0.0,0.0,0.0,0.0,0.9597,6.490225076675415,340000.0
350001,1689175535,0.0,0.0,0.0,0.0,0.9604,6.684346437454224,350000.0
360001,1689175535,0.0,0.0,0.0,0.0,0.9581,6.860560178756714,360000.0
370001,1689175535,0.0,0.0,0.0,0.0,0.9605,7.045413255691528,370000.0
380001,1689175535,0.0,0.0,0.0,0.0,0.9571,7.231015205383301,380000.0
390001,1689175535,0.0,0.0,0.0,0.0,0.9657,7.412626504898071,390000.0
400001,1689175535,0.0,0.0,0.0,0.0,0.998,7.59646201133728,400000.0
410001,1689175535,0.0,0.0,0.0,0.0,0.9981,7.777738094329834,410000.0
420001,1689175535,0.0,0.0,0.0,0.0,0.9983,7.961077451705933,420000.0
430001,1689175535,0.0,0.0,0.0,0.0,0.9979,8.158386468887329,430000.0
440001,1689175535,0.0,0.0,0.0,0.0,0.998,8.347989797592163,440000.0
450001,1689175535,0.0,0.0,0.0,0.0,0.9982,8.539273500442505,450000.0
460001,1689175535,0.0,0.0,0.0,0.0,0.9987,8.736891984939575,460000.0
470001,1689175535,0.0,0.0,0.0,0.0,0.9978,8.926089525222778,470000.0
480001,1689175535,0.0,0.0,0.0,0.0,0.9987,9.120017528533936,480000.0
490001,1689175535,0.0,0.0,0.0,0.0,0.8899,9.307893753051758,490000.0
500001,1689175535,0.0,0.0,0.0,0.0,0.8948,9.833232879638672,500000.0
510001,1689175535,0.0,0.0,0.0,0.0,0.9962,9.685312271118164,510000.0
520001,1689175535,0.0,0.0,0.0,0.0,0.9958,9.8800208568573,520000.0
530001,1689175535,0.0,0.0,0.0,0.0,0.9966,10.06468939781189,530000.0
540001,1689175535,0.0,0.0,0.0,0.0,0.9967,10.256629705429077,540000.0
550001,1689175535,0.0,0.0,0.0,0.0,0.9975,10.498061895370483,550000.0
560001,1689175535,0.0,0.0,0.0,0.0,0.9967,10.663210391998291,560000.0
570001,1689175535,0.0,0.0,0.0,0.0,0.9953,10.823185205459595,570000.0
580001,1689175535,0.0,0.0,0.0,0.0,0.9961,11.025469779968262,580000.0
590001,1689175535,0.0,0.0,0.0,0.0,0.9971,11.206228494644165,590000.0
600001,1689175535,0.0,0.0,0.0,0.0,0.8101,11.388163328170776,600000.0
610001,1689175535,0.0,0.0,0.0,0.0,0.7849,11.567464828491211,610000.0
620001,1689175535,0.0,0.0,0.0,0.0,0.7961,11.752663612365723,620000.0
630001,1689175535,0.0,0.0,0.0,0.0,0.7868,11.951719284057617,630000.0
640001,1689175535,0.0,0.0,0.0,0.0,0.7954,12.128993034362793,640000.0
650001,1689175535,0.0,0.0,0.0,0.0,0.7924,12.315584182739258,650000.0
660001,1689175535,0.0,0.0,0.0,0.0,0.7973,12.50279712677002,660000.0
670001,1689175535,0.0,0.0,0.0,0.0,0.7902,12.672809839248657,670000.0
680001,1689175535,0.0,0.0,0.0,0.0,0.7946,12.863123655319214,680000.0
690001,1689175535,0.0,0.0,0.0,0.0,0.7914,13.044773578643799,690000.0
700001,1689175535,0.0,0.0,0.0,0.0,0.9353,13.231914281845093,700000.0
710001,1689175535,0.0,0.0,0.0,0.0,0.9512,13.43306303024292,710000.0
720001,1689175535,0.0,0.0,0.0,0.0,0.9511,13.917953491210938,720000.0
730001,1689175535,0.0,0.0,0.0,0.0,0.9514,13.802550792694092,730000.0
740001,1689175535,0.0,0.0,0.0,0.0,0.951,13.989783525466919,740000.0
750001,1689175535,0.0,0.0,0.0,0.0,0.9533,14.185729742050171,750000.0
760001,1689175535,0.0,0.0,0.0,0.0,0.9596,14.352193593978882,760000.0
770001,1689175535,0.0,0.0,0.0,0.0,0.9996,14.542922258377075,770000.0
780001,1689175535,0.0,0.0,0.0,0.0,0.999,14.726341009140015,780000.0
790001,1689175535,0.0,0.0,0.0,0.0,0.9993,14.90734577178955,790000.0
800001,1689175535,0.0,0.0,0.0,0.0,0.9993,15.088552236557007,800000.0
810001,1689175535,0.0,0.0,0.0,0.0,0.9989,15.277307748794556,810000.0
820001,1689175535,0.0,0.0,0.0,0.0,0.9996,15.460081577301025,820000.0
830001,1689175535,0.0,0.0,0.0,0.0,0.9997,15.64407753944397,830000.0
840001,1689175535,0.0,0.0,0.0,0.0,0.9992,15.831299543380737,840000.0
850001,1689175535,0.0,0.0,0.0,0.0,0.9993,16.017979383468628,850000.0
860001,1689175535,0.0,0.0,0.0,0.0,0.9954,16.202614307403564,860000.0
870001,1689175535,0.0,0.0,0.0,0.0,0.9798,16.38761568069458,870000.0
880001,1689175535,0.0,0.0,0.0,0.0,0.9767,16.56808114051819,880000.0
890001,1689175535,0.0,0.0,0.0,0.0,0.9798,16.758092641830444,890000.0
900001,1689175535,0.0,0.0,0.0,0.0,0.9768,16.94042181968689,900000.0
910001,1689175535,0.0,0.0,0.0,0.0,0.9749,17.121333360671997,910000.0
920001,1689175535,0.0,0.0,0.0,0.0,0.9794,17.30766487121582,920000.0
930001,1689175535,0.0,0.0,0.0,0.0,0.9799,17.495251655578613,930000.0
940001,1689175535,0.0,0.0,0.0,0.0,0.9795,17.682899951934814,940000.0
950001,1689175535,0.0,0.0,0.0,0.0,0.9798,18.168473958969116,950000.0
960001,1689175535,0.0,0.0,0.0,0.0,0.9804,18.048592567443848,960000.0
970001,1689175535,0.0,0.0,0.0,0.0,0.9945,18.239301443099976,970000.0
980001,1689175535,0.0,0.0,0.0,0.0,0.9946,18.426756620407104,980000.0
990001,1689175535,0.0,0.0,0.0,0.0,0.9945,18.607056617736816,990000.0
1000001,1689175535,0.0,0.0,0.0,0.0,0.9937,18.794899940490723,1000000.0
1010001,1689175535,0.0,0.0,0.0,0.0,0.9942,18.980798482894897,1010000.0
1020001,1689175535,0.0,0.0,0.0,0.0,0.9961,19.166181087493896,1020000.0
1030001,1689175535,0.0,0.0,0.0,0.0,0.9939,19.356618642807007,1030000.0
1040001,1689175535,0.0,0.0,0.0,0.0,0.9944,19.546968936920166,1040000.0
1050001,1689175535,0.0,0.0,0.0,0.0,0.995,19.731335163116455,1050000.0
1060001,1689175535,0.0,0.0,0.0,0.0,0.9945,19.91060495376587,1060000.0
1070001,1689175535,0.0,0.0,0.0,0.0,0.9972,20.096551179885864,1070000.0
1080001,1689175535,0.0,0.0,0.0,0.0,0.9973,20.279611825942993,1080000.0
1090001,1689175535,0.0,0.0,0.0,0.0,0.9961,20.468221426010132,1090000.0
1100001,1689175535,0.0,0.0,0.0,0.0,0.9958,20.655354976654053,1100000.0
1110001,1689175535,0.0,0.0,0.0,0.0,0.9972,20.838256120681763,1110000.0
1120001,1689175535,0.0,0.0,0.0,0.0,0.9978,21.021254062652588,1120000.0
1130001,1689175535,0.0,0.0,0.0,0.0,0.9976,21.207090139389038,1130000.0
1140001,1689175535,0.0,0.0,0.0,0.0,0.9976,21.39255428314209,1140000.0
1150001,1689175535,0.0,0.0,0.0,0.0,0.9982,21.573585271835327,1150000.0
1160001,1689175535,0.0,0.0,0.0,0.0,0.9966,21.768033027648926,1160000.0
1170001,1689175535,0.0,0.0,0.0,0.0,0.9915,22.254493474960327,1170000.0
